Accession #,Panel #,Title,Description,"PUBLICATION
Info as of April 15, 2025",page number
4189,7,Portrait of a Woman,Unidentified ,Unknown Publication,
4201,7,Portrait of a Woman,Unidentified ,Unknown Publication,
4217,7,Portrait of a Woman,Unidentified ,Unknown Publication,
4237,7,Portrait of a Woman,Unidentified ,Unknown Publication,
4257,7,Luba Kit,"Edmonton, AB",Proming October 1973,12
4264,7,Luba Sluzar- Pope  ,"Concert Pianist, Ottawa, ON",Unknown Publication, 
4282,7,Woman in a Library,Unidentified ,Unknown Publication,
4290,7,Bride & Groom,Unidentified ,Unknown Publication,
4300,7,Bride & Groom ,Unidentified ,Unknown Publication,
4314,7,Two Women in Aprons,Unidentified ,Unknown Publication,
4333,7,"П і М Довганюк
P & M Dowhaniuk",Anniversary Couple ,Unknown Publication,
4374,7,"""Odna Hora Vesokaia"" 
One Mountain is High ",Ukrainian Folksong,Unknown Publication,
4421,7,Family Photo,Unidentified ,Unknown Publication,
4443,7,Festival Parade,Ukrainian National Festival in Dauphin,Unknown Publication,
4450,7,Mr. V. Fedun,"In an orchard in Lamont, AB.",Unknown Publication,
4525,7,Women Walking Along the River,Wearing traditional clothing of central Ukraine,Unknown Publication,
4538,7,Ceramic Tile,Soldier Riding a Horse,Unknown Publication,
4563,7,Bake Sale Goods,,Unknown Publication,
4585,7,CYMK Queen & 2 Princesses,"Olya Tsiotka, Olya Sterova, Lesia Kobitovych.  ",Unknown Publication,
4630,7,Taras Shevchenko Concert,Youth Choir Performing,Unknown Publication,
4644,7,CYMK- Stage Play,Unidentified ,Unknown Publication,
4652,7,Soldier by a Fence,Unknown Artist,Unknown Publication,
4656,7,Floral Banner,Unknown Artist,Unknown Publication,
4657,7,"""ПОШТОВА СКРИНЬКА""",Header for Letters to the Editor Section,Unknown Publication,
4663,7,Рідна школа - 1881-1981,stamp commemorating 100 years of Ukrainian language school (Ridna shkola),Unknown Publication,
4750,7,"«Декретами степенных уважаемых Арх. Ветринія»
Decree From Arch Bishop Vetrinia",,Unknown Publication,
4751,7,Tryzub Graphic,Unknown Artist,Unknown Publication,
4771,7,Royal Canadian Legion A  - Crest,Unknown Artist,Unknown Publication,
4772,7,Floral Tryzub Emblem,Unknown Artist,Unknown Publication,
4800,7,Embroidered Cloth,,Promin,
4858,7,Taras Shevchenko Monument ,"Manitoba Legislature - Winnipeg, MB",Unknown Publication,
4861,7,Taras Shevchenko Monument,"Manitoba Legislature - Winnipeg, MB",Unknown Publication,
4865,7,People Viewing the Taras Shevchenko Monument,"Kyiv, Ukraine",Promin March 1973,cover
4867,7,KOBZAR - Cover Text  ,,Kobzar by Taras Shevchenko,Cover
4871,7,Taras Shevchenko,Graphic interpretation of portratit of Taras Shevchenko. Unknown Artist.,Unknown Publication,
4912,7,Threshing Crew,Unidentified Location,Unknown Publication,
4923,7,Pioneer Wedding,Unidentified Location,Unknown Publication,
4929,7,Myhailo Paholok's Horses,Unidentified Location," Калиндар Українського голосу
Ukrainian Voice Almanac 
1939",117
4933,7,"""Zoloti Vorota"" 
Golden Gates","Kyiv, Ukraine"," Калиндар Українського голосу
Ukrainian Voice Almanac 
1930",27
4934,7,Threshing Wheat,"M. Stashy thrashing wheat in Albertawin, SK 1909. ",Unknown Publication,
4936,7,Handmade Wood Splitter,Unidentified Location,Unknown Publication,
4953,7,Landscape by the River,Unidentified Location,Unknown Publication,
5002,7,Illustrated Portrait of a Man.,Unknown artist and subject,Unknown Publication,
5010,7,Camping,Unidentified Location,Unknown Publication,
5027,7,Group Photo  ,Unidentified,Unknown Publication,
5067,7,Group Photo,Unidentified,Unknown Publication,
5086,7, Embroidery Pattern,Vine Motif,Unknown Publication,
5098,7,A House Among the Trees,Unidentified Location,Unknown Publication,
5110,7,Children With Books & Toys,Graphic Illustration by an unknown artist.,Unknown Publication,
5150,7,Two women ,Unidentified,Unknown Publication,
5220,7,"""З ВИСОТ ЩОДЕННОСТИ""",,Unknown Publication,
5225,7,Business Card for Susan B. Ivanhoe , Director & President,Unknown Publication,
5242,7,Commemorative Ribbon,75th anniversary of the Ukrainian Orthodox Church in Nipawin/Melford.,Unknown Publication,
5340,7,Shapes of Unknown Origin,Colour plate for unknown image,Unknown Publication,
5392,7,Commemorative Ribbon,"Visitation of Archbishop John at St. Vladimir's Ukrainian Orthodox Church, Calgary, AB.",Unknown Publication,
5408,7,"Василь і Марія Юзики
William & Mary Yuzyk", ,Unknown Publication,
5423,7,Group Photo  ,Unidentified,Unknown Publication,
5445,7,Alpha Skim Milk Ad,,Unknown Publication,
5484,7,Class Portraits,Unidentified,Unknown Publication,
5499,7,Feast of the Intercession,"Whalley, BC",Unknown Publication,
5558,7,"""Canada's Birthday, July 1st""","Council for Canadian Unity Citizens Committee of the National Capital Region Canadian Folk Arts Council""",Unknown Publication,
5619,7,Hryhori Myhalyshyn,,Unknown Publication,
5628,7,Embroidery Pattern for a Girls Dress, For a Girls Dress,Promin,
5629,7,Ukrainian Self-Reliance League - Edmonton 1961,"Annual Meeting of the Ukrainian Self- Reliance League - Edmonton Branch 1961. Members L-R on the block: Front Row sitting - Rev Chrustiwka, ? Dr. D. Melnyk ? ? Bohdan Melnychuk ? Julian Stechishin, Kost Telechko, ? Leo Faryna ? Mr. Lazowych ? ? 1st Row Standing: ? John Sembaliuk, Rev. Fyk, ????? Nick Bodnar, Richard Samoil, Dmytro Ferbey, Mr. Paush, Rev. Chomiak, Andrew Melnychuk, ?? Dr. John Verchomin, 2nd Row Standing: ? Jack Repka, ??????? Michael Ferbey ????  3rd Row Standing: ?????? John Stratychuk, Orest Yusypchuk, Orest Gauk  Back Row Standing: ????????",Unknown Publication,
5676,7,Embroidery Pattern,,Promin,
5691,7,Carrying the Cross,Unknown Location,Unknown Publication,
5728,7,"Arial View of Downtown Vancouver
1958","Arial View of Downtown Vancouver, in 1958.",Unknown Publication,
5729,7,Taras Shevchenko,"Taras Shevchenko's self-portrait was created in Potoky, Ukraine in 1845—Pencil on paper.",Unknown Publication,
5750,7,"Kharkiv, Ukraine c.1943",,Unknown Publication,
11,8,Woman In Traditional Ukrainian Clothing,Unknown Artist,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin 
Ukrainian Embroidery Designs and Stitches  (1957)",72;183
15,8,Stitch Samples,,Ukrainian Embroidery Designs and Stitches  (1957),60
44,8,Stitch Pattern Samples,,Ukrainian Embroidery Designs and Stitches  (1957),53
46,8,Embroidered Pyjamas,Unidentified Model,Ukrainian Embroidery Designs and Stitches  (1957),123
62,8,Embroidery Pattern,,Ukrainian Embroidery Designs and Stitches  (1957),106
63,8,Embroidery Pattern,,Ukrainian Embroidery Designs and Stitches  (1957),96
68,8,Embroidery Pattern,Design for vestments.,Ukrainian Embroidery Designs and Stitches  (1957),101
79,8,Embroidery Pattern,,Ukrainian Embroidery Designs and Stitches  (1957),112
87,8,Embroidery Pattern,,Ukrainian Embroidery Designs and Stitches  (1957),108
97,8,Babka ,Illustration by Wadym Dobrolige,Traditional Ukrainian Cookery by Savella Stechishin (1957),335
113,8, Needcraft Exhibit ,"Embroidery exhibit in Saskatoon, SK
1951.",Ukrainian Embroidery Designs and Stitches  (1957),14
116,8,"Ukrainian Woman in Choreography
Cover",Woodcut by Myron Levitsky,"Українська жінка в хореографії - Пастернакова, Марія. (1963)
Ukrainian Woman in Choreography (1963) by Maria Pasternakova",Cover
124,8,"""Giselle""","Alicia Markova in the ballet ""Giselle"" (England).","Українська жінка в хореографії - Пастернакова, Марія. (1963)
Ukrainian Woman in Choreography (1963) by Maria Pasternakova",65
136,8,"""Princess Yaroslavna""",Choreographed and danced by Olenka Zaklynsky.,"Українська жінка в хореографії - Пастернакова, Марія. (1963)
Ukrainian Woman in Choreography (1963) by Maria Pasternakova",171
142,8,"""Die Seherin""","A fragment of the Chorus Studies, choreographed and danced by Mary Wigman (Germany).","Українська жінка в хореографії - Пастернакова, Марія. (1963)
Ukrainian Woman in Choreography (1963) by Maria Pasternakova",89
143,8,"""Solokha""","Oksana Wikul in the character dance ""Solokha"".","Українська жінка в хореографії - Пастернакова, Марія. (1963)
Ukrainian Woman in Choreography (1963) by Maria Pasternakova",125
186,8,"Михайло Грушевський
Mykhailo Hrushevsky",Illustrated by Myhailo Fartukh,"Історія України для дітей
History of Ukraine for children of School Age
(1966)",206
189,8,"Перемиський князь Володар
Prince Volodar of Peremyshl",Illustrated by Myhailo Fartukh,"Історія України для дітей
History of Ukraine for children of School Age
(1966)",57
192,8,"Галицький князь Лев І.
Galician Prince Lev I.",Illustrated by Myhailo Fartukh,"Історія України для дітей
History of Ukraine for children of School Age
(1966)",78
200,8,"Князь Ігор
Prince Ihor",Illustrated by Myhailo Fartukh,"Історія України для дітей
History of Ukraine for children of School Age
(1966)",16
221,8,"Гетьман Іван Мазепа
Hetman Ivan Mazepa",Illustrated by Myhailo Fartukh,"Історія України для дітей
History of Ukraine for children of School Age
(1966)",151
262,8,Embroidery Pattern ,For Small Tablecloth,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin ",110
263,8,Blanket Stitch Tutorial,,"Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin ",62
284,8,Population Map  ,"Distribution of Ukrainians in the 
Prairie Provinces of Canada",Ukrainians in Canada (1st edition) by Olha Woycenko 1967,inside cover
317,8,Vancouver and New Westminster,"""Through Green Timber - New Westminster"" (Top)
""Entrance to Stanley Park - Vancouver"" (Bottom)",Unknown Publication,
320,8,Potted Plant by a Bush,Unknown Location,Unknown Publication,
327,8,Geese in the Forest,Unknown Location,Unknown Publication,
351,8, Shevchenko Monument,Unidentified Man,Unknown Publication,
352,8,Thatched Roof House,Unknown Location in Ukraine,Unknown Publication,
357,8,Priest Blessing a Man,Unidentified  ,Unknown Publication,
359,8,Halychyna Grave,Unknown Location,Unknown Publication,
376,8,Group Portrait,Василь Ґрекуль,Unknown Publication,
421,8,"Василь Ґрекуль
Bill Grekul",,Unknown Publication,
435,8,"Петро і Ольга Саварин
 Peter & Olga (Olya) Savaryn",,Unknown Publication,
455,8,"Офіцер Василь Тріщук
Officer William [Vasyl] Tryschuk",,Unknown Publication,
464,8,"Дмитро Лось
Dmytro Los",,Unknown Publication,
491,8,Anniversary Couple,Unidentified  ,Unknown Publication,
503,8,"Марія Пушар
Mary Pushkar",,Unknown Publication,
521,8,Portrait of a Woman,Unidentified  ,Unknown Publication,
525,8,"Дмитро Кіндрачук
Dmytro Kindrachuk",,Unknown Publication,
526,8,"Василь Федоренко
William Fedorenko",,Unknown Publication,
547,8,"Юрій Ратушняк
George (Yuri) Ratushniak",,Unknown Publication,
551,8,"Стефан Самиця
Steven Samycia",,Unknown Publication,
557,8," Пан і Пані Марчук
Mr. & Mrs. Marchuk",,Unknown Publication,
632,8,Birds Flying, Children's Poem about a Bird,"""Бедрик"" О. Лятуринська ; упорядкувала. О. Соловей
Bendryk By O Liaturynska; Edited by O. Solovey
(1956)",33
721,8,"Анастазія і Никола Кропівницька
Anastasia & Nikola Kropivnitsky  ",,Unknown Publication,
755,8,The Dymianiw Family,,Unknown Publication,
785,8,Parade Float,"Thunder Bay, ON",Unknown Publication,
902,8,"Іван Сніпур
John Sniper",,Unknown Publication,
907,8,"Михайло Петровський
Michael Petrovsky",,Unknown Publication,
972,8,"Петро і Катерина Бартощик
Peter & Catherine Bartoshyk ",,Unknown Publication,
981,8,"Катарина Пилипів
Katherine Pylypiw",,Unknown Publication,
1014,8,"Іван і Анна Василик
 John & Anna Wasylyk",,Unknown Publication,
1061,8,"Пані Галя Троян
Mrs. Anna Troyan",,Unknown Publication,
1066,8,Mr. Bell,,Unknown Publication,
1071,8,"М. І. Токар
M. J. Tokar",,Unknown Publication,
1074,8,"Д. Якимець
D. Yakemyk",,Unknown Publication,
1132,8,"П і В Кивириґа
P & V Kyvyryga",,Unknown Publication,
1133,8,Baptism Family Portrait,Unidentified,Unknown Publication,
1153,8,Model of a Ukrainian House,"Created by Peter Svarych
Vegreville, AB","Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin ",26
1158,8,Traditional Easter Paska,Examples of Decorative details,Traditional Ukrainian Cookery by Savella Stechishin (1957),336
1223,8,"Пані Гаврисишин
Mrs. Hawrysyshyn",,"25th anniversary concert program
1968",
1253,8,Lesia Ukrainka,"Painting based on a photograph.
Unknown Artist","25th anniversary concert program
1968",
1331,8,"О. Фербей
O. Ferbey", Graduation Photo,Unknown Publication,
1334,8,"o. д-р Михайло Оленчук
Reverend Dr. Michael Olenchuk",,Unknown Publication,
1341,8,"Бл. п. д-р Богдан І. Веселовіький
Dr. Bohdan I. Veselovsky","Montreal,  PQ 
Founding donor - $1450.00. (KYK)",Unknown Publication,
1410,8,Queen Elizabeth and Prince Philip,"Riverboat
Winnipeg, MB",Unknown Publication,
1452,8,Graduation Photos,1936-1937 Student's Group from the Mykhailo Hrushevsky Ukrainian Institute in Edmonton. ,Unknown Publication,
1465,8,Sunday School Group Photo,Celebrating 100 years since the birth of Taras Shevchenko.,Unknown Publication,
1595,8,Children's Concert,Second & Third Class Performing,Unknown Publication,
1815,8,TYC Anniversary Committee,"L-R:  ?, Rev. Chomiak, Dr Steven Yaremchuk, ?. Rev M. Kryschuk",Unknown Publication,
1848,8,Ukrainian Orthodox Church ," Prince Albert, Alberta",Unknown Publication,
1868,8,"Architectural Drawing
Orthodox Church","Architect - V. Synуcky.
Aschaffenburg, Germany.",Unknown Publication,
1874,8,St. John's Ukrainian Orthodox Cathedral,"Oshawa, ON",Unknown Publication,
2119,8,"Art Treasures of Ukrainian Embroidery 
","Cover
burgundy plate ","Мистецькі скарби українських вишивок - С. Сечишин (1950)
Art Treasures of Ukrainian Embroidery by S. Stechishin ",front cover
2121,8,Mohyla Institute Summer ,"School Choir
1946",Unknown Publication,
2170,8,Vera Buchkowsky,,Unknown Publication,
2182,8,"Ростислав Дзеник
Russel Dzenick",,Unknown Publication,
2187,8,UWAC Group Photo ,"O. Kobylianska Branch Sundown, MB
1951",Twenty Five Years of UWAC 1926-1951,313
2248,8,Embroidered Linen Doily ,Fig.105,Ukrainian Embroidery Designs and Stitches  (1957),72
2260,8,Lillian Ewasiuk,"Fig.209
Modeling an embroidered two-piece dress.  ",Ukrainian Embroidery Designs and Stitches  (1957),126
2263,8,Leona Faryna  ,Modelling an Embroidered Dress & Bonnet,Ukrainian Embroidery Designs and Stitches  (1957),121
2264,8,Embroidery Pattern,Fig.121,Ukrainian Embroidery Designs and Stitches  (1957),80
2273,8,Stitch Patterns,Fig. 83,Ukrainian Embroidery Designs and Stitches  (1957),63
2341,8,UWAC Group Photo ,"Ukrainian National Home
Toronto",Unknown Publication,
